Documento,Descripción,Importancia
Carta Porte,Documento que prueba que el transportista autorizado ha tomado las mercancías bajo su responsabilidad y se ha obligado a transportarlas.,Alta
Manifiesto de carga,Documento que ampara las mercancías que se transportan.,Alta
Permiso Originario,Documento que acredita que un transportista ha sido autorizado para el transporte.,Alta
Certificado de Habilitación,Documento que acredita la habilitación del medio de transporte.,Alta
Libreta de Tripulante Terrestre,Documento que permite al o los tripulantes transitar, permanecer o salir en el país.,Alta
Póliza de seguro,Póliza que cubre los riesgos asociados al transporte internacional de mercancías.,Alta
Factura Comercial,Documento que acredita la venta de las mercancías, detallando precio, cantidad y descripción.,Alta
